org_id,name,objective,services,contactable,phone_number,email,website,address,latitude,longitude,opening_hours,hotline,facebook,linkedin,twitter,youtube,instagram,tiktok,flicker,sound_cloud,other
1,La Liane,Better living conditions for women and children,Food and shelter,TRUE,77 434 51 51 / 77 783 31 40,c.hallegot@laposte.net,https://laliane.eu,Ndiolofféne Nord,,,,,https://fr-fr.facebook.com/La-Liane-591490217531018/,,,,https://instagram.com/lalianesenegal/,,,,
2,Association Jeunesse Espoir (AJS),"The main goal of AJS is to support children and youth in vulnerable situations in the northern region of Senegal through five main axes, while also using the potential of the Internet ","Employement support, health  support programs, training",TRUE,33 961 49 80 / 77 843 39 34,jeunesseespoir60@gmail.com,www.jeunesse-espoir-senegal.com,"Hlm villa 407 derrière la Maison de Lille Saint-Louis, Sénégal","16,01473587","-16,49695734",Always Open,,https://www.facebook.com/AJEassociationjeunesseespoir/,,https://twitter.com/aje_espoir,,,,,,
3,Connexion Sans Frontieres,"Integration of ICT in development policies, support, advice, process organization ","Structured social protection for informal sector workers, as well as support for local communities",TRUE,776342646,aakcisse@gmail.com,,AVENUE CHEIKH ANTA DIOP ,,,,,,,,,,,,,
4,African Network for Horticultural Development,Combining the experiences and resources available to support horticulture research and development initiatives within the member countries.,R&D in Horticulture,FALSE,,radhort@fao.org,https://www.fao.org/in-action/radhort/en/,,,,,,,,,,,,,,
5,African Network for Integrated Development (ANID),"Democratic development that benefits everyone, rich and poor alike, where wealth, power and knowledge are shared.",Support-Consultancy; training; skills transfer; political and strategic alliances; operational and institutional synergy; advocacy; lobbying. ,TRUE,33 860 76 98,radi@orange.sn,www.radi-afrique.com,"Yoff virage, Lot 97 ",,,Always Open,,https://web.facebook.com/RADI-Afrique-895847527180445,,,,,,,,
6,African Network for Support to Women Entrepreneurs (ANSWE),Promotion of women's entrepreneurship. ,"Assistance and advice,training,information,access to financing,Capacity building,The creation of a business incubation center,the creation of a women's entrepreneurship house,the social protection of the association's members",TRUE,,,https://www.rasef-senegal.org/,,,,,,,,,,,,,,
7,African Office for Development and Cooperation,"OFADEC's mission is to assist and protect victims of humanitarian crises, through the protection and assistance

It has 18 years of experience with refugees, asylum seekers and displaced persons in the following areas

Camp management (250 camps managed for a population of 66,000 refugees)
Health and Education (66,000 refugees)
Women's micro projects (500 women)
Repatriation (2,000 refugees)
Agricultural projects (2,000 hectares for refugees)","- Food security for the poorest populations and income generation through integrated projects;
-The promotion, protection and assistance to refugees; 
- Improving the role and living conditions of women through income-generating activities;
",TRUE,338322460,sinfor@ofadec.org,http://ofadec.org/,"SN, Dakar, 1887, HANN MARISTES, Espace résidence, Villa 302",,,,,,,,,,,,,
8,Centre de Recherche Ouest Africaine (CROA),"CROA promotes academic and cultural exchanges between American and West African scholars, students, and artists and supports research on the West African region. 







","Financial assistance to student researchers in their research;

Facilitation of research-focused collaborations and access to ressources",TRUE,33 865 22 77 / 77 065 26 40,"yademariane@gmail.com
",warccroa.org,"Rue Ex Leon G. Damas, Fann Résidence","14,69155206","-17,4710289",09:00 - 17:00,,https://web.facebook.com/WARCOfficielle/,,,https://www.youtube.com/user/warccroa,,,,,
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),"support programs for disadvantaged populations in peri-urban and rural areas.

Establish a framework of better being through the implementation of programs integrating the mobilization of expertise, methods and various tools to establish a good policy of self-care for the needs of populations in various areas","- Fight against AIDS (prevention programs for other vulnerable populations: fishermen, truckers, migrants, gold miners) 
- Child protection and assistance to vulnerable people (programs to improve a protective environment for children at risk and/or victims of violence)",TRUE,338778798,contact@ajd-pasteef.org,https://www.ong-ajdpasteef.org/,"villa N° 143N Cité SHS GOLF NORD
GUEDIAWAYE - DAKAR
SENEGAL",,,,,,,,,,,,,
10,African Regional Centre for Technology (ARCT), to be the leading global network of research and technological organisations through collaboration and knowledge sharing for sustainable development.,Promoting exchange of experience in research and technology management,TRUE,338237712,crat@orange.sn,,"mm. Fahd 12ème Etage, Boulevard Djily Mbaye, Dakar-Plateau
Dakar - Sénégal",,,,,,,,,,,,,
11,Forum for Agricultural Research in Africa (FARA),Agricultural research initiatives in Africa designed to have a continental reach,"agriculture science, technology and innovation.",FALSE,00233 0302 744888,info@faraafrica.org,https://faraafrica.org/help/,"No. 9 Flower Avenue, New Achimota Mile 7","5,636610658","-0,2404689023",,,,,,,,,,,
12,Groupe Présence Locale,"GPL aims to create the conditions for a cross exchange between the populations, a synergy of initiatives for sustainable development that must pass through the schooling of all.","Health support (via awareness campaigns, but also via financial for sick adult men and women) 


Filiation, school enrollement, school supply donations of kids in precarious situationstraining as well as financial help for poor parents


Agriculture specific training, promotion of bio and local food through donation of seeds, capacitation of women in bio agriculture, as well as financial support for the distribution of the products 

",TRUE,773021112,presencelocale@yahoo.fr,"http://gplsenegal.over-blog.com/


",,,,,,,,,,,,,,
13,Institut africain de gestion urbaine (IAGU),"IAGU's mission is to assist municipalities in West and Central Africa to strengthen their planning and management capacities to build inclusive, prosperous and sustainable cities.", ,FALSE,338698700,secretariat@iagu.org,http://www.iagu.org/,"N° 26,
Cité Keur Gorgui
Dakar, Sénégal","14,70591","-17,46346",08:30 - 17:00,,https://www.facebook.com/Institut-Africain-de-Gestion-Urbaine-1041395779253958/?fref=ts,https://www.linkedin.com/company-beta/11119436/,https://twitter.com/institut_iagu,,,,,,
14,OSIWA,"OSIWA’s mission is to help build open societies in West Africa, where citizens enjoy the benefits of inclusive policies, good governance, vibrant democracies, transparency, accountability, equity and respect for the rule of law & fundamental human rights.","Grants, advocacy, litigation, partnership building, knowledge generation / research, and technical assistance",TRUE,33 869 1024/ 33 824 0942,osiwa-dakar@osiwa.org,https://www.osiwa.org/,"Stèle Mermoz
Rue El Hadj Ibrahima Niasse
MZ 83 X MZ 100
B.P. 008 Dakar-Fann, Senegal","14,70441031","-17,47448443",09:00 - 17:00,,https://www.facebook.com/osiwa1/,https://www.linkedin.com/company/osiwa/,https://twitter.com/OSIWA1,https://www.youtube.com/channel/UCt4h0S32SkTPB3s-juknqWw?feature=watch,https://www.instagram.com/essential.stories/,,,,
15,Research and Action Group for Rural Development in the Third World,"GRDR's objectives are:

- To promote citizenship and dignity for all, including migrants, in West Africa, the Maghreb, France and Europe
- To value human mobility as a means of sharing, exchange, openness and progress
- To contribute to the territorial development of the territories where Grdr intervenes in West Africa and the Maghreb while protecting the environment and natural resources
- Encourage the Social and Solidarity Economy and the equitable redistribution of wealth so that local development benefits primarily the most disadvantaged
- Produce and share knowledge to provide local and national decision makers with the information and tools they need","- Support for the project management and implementation of local authorities and elected officials
- Participative diagnosis of the territory and specialized diagnosis
- Accompaniment and social mediation
- Training and capacity building of local actors
- Production and dissemination of knowledge: Studies, events (forums, symposiums, workshops) Capitalization
- Project engineering and funding research

",TRUE,33 867 39 61,ziguinchor@grdr.org,https://www.grdr.org/,Lot 66 Mamelles - 1er étage Ouakam - Dakar - Sénégal,,,,,,,,,,,,,
