id,name,female,other,male,adult,youth,child,baby
1,La Liane,1,0,0,1,0,0,0
1,La Liane,0,1,0,1,0,0,0
1,La Liane,1,0,0,0,1,0,0
1,La Liane,1,0,0,0,0,1,0
1,La Liane,1,0,0,0,0,0,1
1,La Liane,0,0,1,0,1,0,0
1,La Liane,0,0,1,0,0,1,0
1,La Liane,0,0,1,0,0,0,1
1,La Liane,0,1,0,0,1,0,0
1,La Liane,0,1,0,0,0,1,0
1,La Liane,0,1,0,0,0,0,1
2,Association Jeunesse Espoir (AJS),1,0,0,1,0,0,0
2,Association Jeunesse Espoir (AJS),1,0,0,0,1,0,0
2,Association Jeunesse Espoir (AJS),1,0,0,0,0,1,0
2,Association Jeunesse Espoir (AJS),1,0,0,0,0,0,1
2,Association Jeunesse Espoir (AJS),0,0,1,1,0,0,0
2,Association Jeunesse Espoir (AJS),0,0,1,0,1,0,0
2,Association Jeunesse Espoir (AJS),0,0,1,0,0,1,0
2,Association Jeunesse Espoir (AJS),0,0,1,0,0,0,1
2,Association Jeunesse Espoir (AJS),0,1,0,1,0,0,0
2,Association Jeunesse Espoir (AJS),0,1,0,0,1,0,0
2,Association Jeunesse Espoir (AJS),0,1,0,0,0,1,0
2,Association Jeunesse Espoir (AJS),0,1,0,0,0,0,1
3,Connexion Sans Frontieres,1,0,0,1,0,0,0
3,Connexion Sans Frontieres,1,0,0,0,1,0,0
3,Connexion Sans Frontieres,1,0,0,0,0,1,0
3,Connexion Sans Frontieres,0,0,1,1,0,0,0
3,Connexion Sans Frontieres,0,0,1,0,1,0,0
3,Connexion Sans Frontieres,0,0,1,0,0,1,0
3,Connexion Sans Frontieres,0,1,0,1,0,0,0
3,Connexion Sans Frontieres,0,1,0,0,1,0,0
3,Connexion Sans Frontieres,0,1,0,0,0,1,0
4,African Network for Horticultural Development,1,0,0,0,1,0,0
4,African Network for Horticultural Development,1,0,0,1,0,0,0
4,African Network for Horticultural Development,0,0,1,0,1,0,0
4,African Network for Horticultural Development,0,0,1,1,0,0,0
4,African Network for Horticultural Development,0,1,0,0,1,0,0
4,African Network for Horticultural Development,0,1,0,1,0,0,0
5,African Network for Integrated Development (ANID),1,0,0,0,1,0,0
5,African Network for Integrated Development (ANID),1,0,0,1,0,0,0
5,African Network for Integrated Development (ANID),0,0,1,0,1,0,0
5,African Network for Integrated Development (ANID),0,0,1,1,0,0,0
5,African Network for Integrated Development (ANID),0,1,0,0,1,0,0
5,African Network for Integrated Development (ANID),0,1,0,1,0,0,0
6,African Network for Support to Women Entrepreneurs (ANSWE),1,0,0,0,1,0,0
6,African Network for Support to Women Entrepreneurs (ANSWE),1,0,0,1,0,0,0
7,African Office for Development and Cooperation,1,0,0,0,1,0,0
7,African Office for Development and Cooperation,1,0,0,1,0,0,0
7,African Office for Development and Cooperation,1,0,0,0,0,1,0
7,African Office for Development and Cooperation,1,0,0,0,0,0,1
7,African Office for Development and Cooperation,0,0,1,0,1,0,0
7,African Office for Development and Cooperation,0,0,1,1,0,0,0
7,African Office for Development and Cooperation,0,0,1,0,0,1,0
7,African Office for Development and Cooperation,0,0,1,0,0,0,1
7,African Office for Development and Cooperation,0,1,0,0,1,0,0
7,African Office for Development and Cooperation,0,1,0,1,0,0,0
7,African Office for Development and Cooperation,0,1,0,0,0,1,0
7,African Office for Development and Cooperation,0,1,0,0,0,0,1
8,Centre de Recherche Ouest Africaine (CROA),1,0,0,0,1,0,0
8,Centre de Recherche Ouest Africaine (CROA),1,0,0,1,0,0,0
8,Centre de Recherche Ouest Africaine (CROA),0,0,1,0,1,0,0
8,Centre de Recherche Ouest Africaine (CROA),0,0,1,1,0,0,0
8,Centre de Recherche Ouest Africaine (CROA),0,1,0,0,1,0,0
8,Centre de Recherche Ouest Africaine (CROA),0,1,0,1,0,0,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),1,0,0,0,0,0,1
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),1,0,0,0,0,1,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),1,0,0,0,1,0,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),1,0,0,1,0,0,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),0,0,1,0,0,0,1
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),0,0,1,0,0,1,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),0,0,1,0,1,0,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),0,0,1,1,0,0,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),0,1,0,0,0,0,1
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),0,1,0,0,0,1,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),0,1,0,0,1,0,0
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),0,1,0,1,0,0,0
10,African Regional Centre for Technology (ARCT),1,0,0,1,0,0,0
10,African Regional Centre for Technology (ARCT),0,0,1,1,0,0,0
10,African Regional Centre for Technology (ARCT),0,1,0,1,0,0,0
11,Forum for Agricultural Research in Africa (FARA),1,0,0,1,0,0,0
11,Forum for Agricultural Research in Africa (FARA),0,0,1,1,0,0,0
11,Forum for Agricultural Research in Africa (FARA),0,1,0,1,0,0,0
12,Groupe Présence Locale,1,0,0,0,0,0,1
12,Groupe Présence Locale,1,0,0,0,0,1,0
12,Groupe Présence Locale,1,0,0,0,1,0,0
12,Groupe Présence Locale,1,0,0,1,0,0,0
12,Groupe Présence Locale,0,0,1,0,0,0,1
12,Groupe Présence Locale,0,0,1,0,0,1,0
12,Groupe Présence Locale,0,0,1,0,1,0,0
12,Groupe Présence Locale,0,0,1,1,0,0,0
12,Groupe Présence Locale,0,1,0,0,0,0,1
12,Groupe Présence Locale,0,1,0,0,0,1,0
12,Groupe Présence Locale,0,1,0,0,1,0,0
12,Groupe Présence Locale,0,1,0,1,0,0,0
13,Institut africain de gestion urbaine (IAGU),0,0,0,0,0,0,0
14,OSIWA,1,0,0,1,0,0,0
14,OSIWA,0,0,1,1,0,0,0
14,OSIWA,0,1,0,1,0,0,0
15,Research and Action Group for Rural Development in the Third World,1,0,0,0,1,0,0
15,Research and Action Group for Rural Development in the Third World,1,0,0,1,0,0,0
15,Research and Action Group for Rural Development in the Third World,0,0,1,0,1,0,0
15,Research and Action Group for Rural Development in the Third World,0,0,1,1,0,0,0
15,Research and Action Group for Rural Development in the Third World,0,1,0,0,1,0,0
15,Research and Action Group for Rural Development in the Third World,0,1,0,1,0,0,0
16,Student and Youth Traveler Organization (SYTO),1,0,0,0,1,0,0
16,Student and Youth Traveler Organization (SYTO),1,0,0,1,0,0,0
16,Student and Youth Traveler Organization (SYTO),0,0,1,0,1,0,0
16,Student and Youth Traveler Organization (SYTO),0,0,1,1,0,0,0
16,Student and Youth Traveler Organization (SYTO),0,1,0,0,1,0,0
16,Student and Youth Traveler Organization (SYTO),0,1,0,1,0,0,0
17,TrustAfrica,1,0,0,0,1,0,0
17,TrustAfrica,1,0,0,1,0,0,0
17,TrustAfrica,0,0,1,0,1,0,0
17,TrustAfrica,0,0,1,1,0,0,0
17,TrustAfrica,0,1,0,0,1,0,0
17,TrustAfrica,0,1,0,1,0,0,0
18,UCJG/YMCA-SENEGAL,1,0,0,0,0,1,0
18,UCJG/YMCA-SENEGAL,1,0,0,0,1,0,0
18,UCJG/YMCA-SENEGAL,1,0,0,1,0,0,0
18,UCJG/YMCA-SENEGAL,0,0,1,0,0,1,0
18,UCJG/YMCA-SENEGAL,0,0,1,0,1,0,0
18,UCJG/YMCA-SENEGAL,0,0,1,1,0,0,0
18,UCJG/YMCA-SENEGAL,0,1,0,0,0,1,0
18,UCJG/YMCA-SENEGAL,0,1,0,0,1,0,0
18,UCJG/YMCA-SENEGAL,0,1,0,1,0,0,0
19,SOS Village,1,0,0,0,0,0,1
19,SOS Village,1,0,0,0,0,1,0
19,SOS Village,1,0,0,0,1,0,0
19,SOS Village,1,0,0,1,0,0,0
