id,value,translation_key,icon
1,Access to housing and social services,housingAndSocialServices,
2,Access to economic resources and information technology,economicResources,
3,Access to financial services and microfinance,financialServices,
4,Initiatives to protect against climate-related events,protectionClimatEvents,
5, Programs alleviating poverty,alleviatePoverty,
6,Access to nutritious food,nutritiousFood,
7,Access to agricultural land and other production resources,agriculturalLand,
8,Access to services for small-scale farmers to increase productivity and income,smallScaleFarmers,
9,Implement resilient agricultural practices and increase productivity,resilientAgriculturalPractices,
10,Adapt farming practices to climate change and environmental disasters,adaptFarmingPractices,
11,Improve land and soil quality,LandAndSoilQuality,
12,Access to seed and plant banks and other resources for farming,farmingResources,
13,"Resources for rural infrastructure, agricultural research, and technology",ruralInfrastructureResources,
14,Health prevention programs,healthPrevention,
15,Disease prevention and treatment,diseasePrevention,
16,Access to mental health services,mentalHealth,
17,Prevention and treatment of drug abuse,drugAbuse,
18,"Access to healthcare services, medicines, and vaccines",accessToHealthcare,
19,Access to primary and secondary education,primaryAndSecondaryEducation,
20,Access to pre-primary education,prePrimaryEducation,
21,"Access to affordable technical, vocational and higher education",accessHigherEducation,
22,Develop relevant skills for employment and entrepreneurship,skillsForEmployment,
23,Education for sustainable development and lifestyle,sustainableDevelopementEducation,
24,Education for human rights,humanRightsEducation,
25,Education for gender equality,genderEqualityEducation,
26,Programs to end discrimination against women,endWomenDiscrimination,
27,Programs to end violence and exploitation against women,endViolenceWomen,
28,Programs empowering women through technology,empowerWomen,
29,Adopt and strengthen policies and legislation for gender equality,legislationForGenderEquality,
30,Increase economic productivity through technological innovations,economicProductivity,
31,Access to employment,employment,
32,"Access to youth employment, education and training",youthEmployment,
33,Strengthen capacity of financial institutions,financialInstitutions,
34,Incentivise ending discrimination laws and policies,endingDiscriminationLaws,
35,"Ensure safe, orderly and regular migration back home",migration,
36,Strengthen national and regional development planning,developmentPlanning,
37,Effective partnership programs,effectivePartnership,
38,Access to justice and legal aid,justiceAndLegalAid,
39,Access to legal identity and registration,legalIdentity,
40,Access to information and protection of human rights,humanRightsProtection,
