dots_subcategory_id,dots_subcategory
1,Access to housing and social services
2,Access to economic resources and information technology
3,Access to financial services and microfinance
4,Initiatives to protect against climate-related events
5, Programs alleviating poverty
6,Access to nutritious food
7,Access to agricultural land and other production resources
8,Access to services for small-scale farmers to increase productivity and income
9,Implement resilient agricultural practices and increase productivity
10,Adapt farming practices to climate change and environmental disasters
11,Improve land and soil quality
12,Access to seed and plant banks and other resources for farming
13,"Resources for rural infrastructure, agricultural research, and technology"
14,Health prevention programs
15,Disease prevention and treatment
16,Access to mental health services
17,Prevention and treatment of drug abuse
18,"Access to healthcare services, medicines, and vaccines"
19,Access to primary and secondary education
20,Access to pre-primary education
21,"Access to affordable technical, vocational and higher education"
22,Develop relevant skills for employment and entrepreneurship
23,Education for sustainable development and lifestyle
24,Education for human rights
25,Education for gender equality
26,Programs to end discrimination against women
27,Programs to end violence and exploitation against women
28,Programs empowering women through technology
29,Adopt and strengthen policies and legislation for gender equality
30,Increase economic productivity through technological innovations
31,Access to employment
32,"Access to youth employment, education and training"
33,Strengthen capacity of financial institutions
34,Incentivise ending discrimination laws and policies
35,"Ensure safe, orderly and regular migration back home"
36,Strengthen national and regional development planning
37,Effective partnership programs
38,Access to justice and legal aid
39,Access to legal identity and registration
40,Access to information and protection of human rights
