id,name,objective,,target_groups,contactable,phone_number,email,website,address,region,gender,age_group ,latitude,longitude,opening_hours,hotline,facebook,linkedin,twitter,youtube,instagram,tiktok,flicker,sound_cloud,other
1,La Liane,Better living conditions for women and children,,,TRUE,77 434 51 51 / 77 783 31 40,c.hallegot@laposte.net,https://laliane.eu,Ndiolofféne Nord,Saint-Louis,"female, other",adult,,,,,https://fr-fr.facebook.com/La-Liane-591490217531018/,,,,https://instagram.com/lalianesenegal/,,,,
1,La Liane,Better living conditions for women and children,,"Children 
Youth
Women, Children, 
Youth,
Women",TRUE,77 434 51 51 / 77 783 31 40,c.hallegot@laposte.net,https://laliane.eu,Ndiolofféne Nord,Saint-Louis,"female, male, other","youth, child, baby",,,,,,,,,,,,,
2,Association Jeunesse Espoir (AJS),"The main goal of AJS is to support children and youth in vulnerable situations in the northern region of Senegal through five main axes, while also using the potential of the Internet ",,"Children 
Youth
Migrants, Children ,
Youth.
Migrants",TRUE,33 961 49 80 / 77 843 39 34,jeunesseespoir60@gmail.com,www.jeunesse-espoir-senegal.com,"Hlm villa 407 derrière la Maison de Lille Saint-Louis, Sénégal",Saint-Louis,"female, male, other","adult, youth, child, baby",16.01473587,-16.49695734,Always Open,,https://www.facebook.com/AJEassociationjeunesseespoir/,,https://twitter.com/aje_espoir,,,,,,
3,Connexion Sans Frontieres,"Integration of ICT in development policies, support, advice, process organization ",,"Women
Children
Informal Sector Workers",TRUE,776342646,aakcisse@gmail.com,,AVENUE CHEIKH ANTA DIOP ,Dakar,"female, male, other","adult, youth, child",,,,,,,,,,,,,
4,African Network for Horticultural Development,Combining the experiences and resources available to support horticulture research and development initiatives within the member countries.,,Farmers,FALSE,,radhort@fao.org,www.fao.org/radhort,,Dakar,"female, male, other","youth, adult",,,,,,,,,,,,,
5,African Network for Integrated Development (ANID),"Democratic development that benefits everyone, rich and poor alike, where wealth, power and knowledge are shared.",,"Young adults
Youth looking for work
Women
People living with disabilities
Prisoners
Vulnerable people",TRUE,33 860 76 98,radi@orange.sn,www.radi-afrique.com,"Yoff virage, Lot 97 ",Dakar,"female, male, other","youth, adult",,,Always Open,,https://web.facebook.com/RADI-Afrique-895847527180445,,,,,,,,
6,African Network for Support to Women Entrepreneurs (ANSWE),Promotion of women's entrepreneurship. ,,Women entrepreneurs,TRUE,,,https://www.rasef-senegal.org/,,Dakar,female,"youth, adult",,,,,,,,,,,,,
7,African Office for Development and Cooperation,"OFADEC's mission is to assist and protect victims of humanitarian crises, through the protection and assistance

It has 18 years of experience with refugees, asylum seekers and displaced persons in the following areas

Camp management (250 camps managed for a population of 66,000 refugees)
Health and Education (66,000 refugees)
Women's micro projects (500 women)
Repatriation (2,000 refugees)
Agricultural projects (2,000 hectares for refugees)",,"Financially vulnerable people
Refugees
Women",TRUE,338322460,sinfor@ofadec.org,http://ofadec.org/,"SN, Dakar, 1887, HANN MARISTES, Espace résidence, Villa 302",Dakar,"female, male, other","youth, adult, child, baby",,,,,,,,,,,,,
8,Centre de Recherche Ouest Africaine (CROA),"CROA promotes academic and cultural exchanges between American and West African scholars, students, and artists and supports research on the West African region. 







",,African and International students,TRUE,33 865 22 77 / 77 065 26 40,"yademariane@gmail.com",warccroa.org,"Rue Ex Leon G. Damas, Fann Résidence",Dakar,"female, male, other","youth, adult",14.69155206,-17.4710289,09:00 - 17:00,,https://web.facebook.com/WARCOfficielle/,,,https://www.youtube.com/user/warccroa,,,,,
9,Association des Jeunes pour le Developpement  (AJD/PASTEEF),"support programs for disadvantaged populations in peri-urban and rural areas.

Establish a framework of better being through the implementation of programs integrating the mobilization of expertise, methods and various tools to establish a good policy of self-care for the needs of populations in various areas",,"Women
Chilren
Financially (or health-wise) vulnerable communities",TRUE,338778798,contact@ajd-pasteef.org,https://www.ong-ajdpasteef.org/,"villa N° 143N Cité SHS GOLF NORD
GUEDIAWAYE - DAKAR
SENEGAL",Dakar,"female, male, other","baby, child, youth, adult",,,,,,,,,,,,,
